Latitude,Longitude,Name,Description
23.5,-83.5,61001, Atlantic
24,-82.5,61002, Atlantic
24,-81.5,61003, Atlantic
24,-80.5,61004, Atlantic
23,-79,61005, Atlantic
22.5,-78,61006, Atlantic
22,-77,61007, Atlantic
22,-76,61008, Atlantic
21.5,-75,61009, Atlantic
21.5,-74,61010, Atlantic
20.5,-74,61011, Atlantic
20.5,-73,61012, Atlantic
20.5,-72,61013, Atlantic
20.5,-71,61014, Atlantic
20.5,-70,61015, Atlantic
20.5,-69,61016, Atlantic
20.5,-68,61017, Atlantic
19.5,-67.5,61018, Atlantic
19,-66,61019, Atlantic
19,-65,61020, Atlantic
19,-64,61021, Atlantic
18,-64,61022, Atlantic
17,-64,61023, Atlantic
17,-65,61024, Atlantic
17,-66,61025, Atlantic
17.5,-67.5,61026, Atlantic
17.5,-68.5,61027, Atlantic
17.5,-69.5,61028, Atlantic
17.5,-70.5,61029, Atlantic
17.5,-72,61030, Atlantic
17.5,-73,61031, Atlantic
17.5,-74,61032, Atlantic
18,-74.5,61033, Atlantic
19.5,-73.5,61034, Atlantic
19,-74.5,61035, Atlantic
19,-75.5,61036, Atlantic
19,-76.5,61037, Atlantic
19,-77.5,61038, Atlantic
19.5,-79,61039, Atlantic
20.5,-79.5,61040, Atlantic
21,-80.5,61041, Atlantic
21,-81.5,61042, Atlantic
21,-82.5,61043, Atlantic
21,-83.5,61044, Atlantic
44.5,-67.25,63001, Atlantic
44.42,-67.33,63002, Atlantic
44.33,-67.42,63003, Atlantic
44.33,-67.5,63004, Atlantic
44.33,-67.58,63005, Atlantic
44.33,-67.67,63006, Atlantic
44.33,-67.75,63007, Atlantic
44.25,-67.83,63008, Atlantic
44.25,-67.92,63009, Atlantic
44.17,-68,63010, Atlantic
44.17,-68.08,63011, Atlantic
44.17,-68.17,63012, Atlantic
44.08,-68.17,63013, Atlantic
44,-68.25,63014, Atlantic
44,-68.33,63015, Atlantic
44,-68.42,63016, Atlantic
43.92,-68.5,63017, Atlantic
43.92,-68.58,63018, Atlantic
43.92,-68.67,63019, Atlantic
43.92,-68.75,63020, Atlantic
43.92,-68.83,63021, Atlantic
43.92,-68.92,63022, Atlantic
43.92,-69,63023, Atlantic
43.83,-69.08,63024, Atlantic
43.75,-69.17,63025, Atlantic
43.75,-69.25,63026, Atlantic
43.75,-69.33,63027, Atlantic
43.67,-69.42,63028, Atlantic
43.67,-69.5,63029, Atlantic
43.67,-69.58,63030, Atlantic
43.58,-69.67,63031, Atlantic
43.58,-69.75,63032, Atlantic
43.58,-69.83,63033, Atlantic
43.58,-69.92,63034, Atlantic
43.58,-70,63035, Atlantic
43.5,-70,63036, Atlantic
43.42,-70.08,63037, Atlantic
43.42,-70.17,63038, Atlantic
43.33,-70.25,63039, Atlantic
43.25,-70.33,63040, Atlantic
43.17,-70.42,63041, Atlantic
43.08,-70.42,63042, Atlantic
43,-70.5,63043, Atlantic
42.92,-70.58,63044, Atlantic
42.83,-70.58,63045, Atlantic
42.83,-70.5,63046, Atlantic
42.75,-70.42,63047, Atlantic
42.67,-70.42,63048, Atlantic
42.58,-70.42,63049, Atlantic
42.5,-70.5,63050, Atlantic
42.42,-70.58,63051, Atlantic
42.42,-70.67,63052, Atlantic
42.33,-70.58,63053, Atlantic
42.25,-70,63054, Atlantic
42.25,-70.08,63055, Atlantic
42.25,-70.17,63056, Atlantic
42.25,-70.25,63057, Atlantic
42.25,-70.33,63058, Atlantic
42.25,-70.42,63059, Atlantic
42.25,-70.5,63060, Atlantic
42.17,-69.92,63061, Atlantic
42.08,-69.83,63062, Atlantic
42,-69.83,63063, Atlantic
41.92,-69.75,63064, Atlantic
41.83,-69.75,63065, Atlantic
41.75,-69.75,63066, Atlantic
41.67,-69.75,63067, Atlantic
41.58,-69.75,63068, Atlantic
41.5,-69.67,63069, Atlantic
41.5,-69.75,63070, Atlantic
41.42,-69.67,63071, Atlantic
41.33,-69.67,63072, Atlantic
41.25,-69.67,63073, Atlantic
41.25,-71,63074, Atlantic
41.25,-71.08,63075, Atlantic
41.25,-71.17,63076, Atlantic
41.25,-71.25,63077, Atlantic
41.25,-71.33,63078, Atlantic
41.25,-71.42,63079, Atlantic
41.17,-69.67,63080, Atlantic
41.17,-70.33,63081, Atlantic
41.17,-70.42,63082, Atlantic
41.17,-70.5,63083, Atlantic
41.17,-70.58,63084, Atlantic
41.17,-70.67,63085, Atlantic
41.17,-70.75,63086, Atlantic
41.17,-70.83,63087, Atlantic
41.17,-70.92,63088, Atlantic
41.17,-71.42,63089, Atlantic
41.08,-69.67,63090, Atlantic
41.08,-70,63091, Atlantic
41.08,-70.08,63092, Atlantic
41.08,-70.17,63093, Atlantic
41.08,-70.25,63094, Atlantic
41.08,-71.42,63095, Atlantic
41,-69.67,63096, Atlantic
41,-69.75,63097, Atlantic
41,-69.83,63098, Atlantic
41,-69.92,63099, Atlantic
41,-71.58,63100, Atlantic
41,-71.67,63101, Atlantic
40.92,-71.83,63102, Atlantic
40.83,-71.92,63103, Atlantic
40.83,-72,63104, Atlantic
40.83,-72.08,63105, Atlantic
40.75,-72.17,63106, Atlantic
40.75,-72.25,63107, Atlantic
40.75,-72.33,63108, Atlantic
40.67,-72.42,63109, Atlantic
40.67,-72.5,63110, Atlantic
40.67,-72.58,63111, Atlantic
40.58,-72.67,63112, Atlantic
40.58,-72.75,63113, Atlantic
40.58,-72.83,63114, Atlantic
40.5,-72.92,63115, Atlantic
40.5,-73,63116, Atlantic
40.5,-73.08,63117, Atlantic
40.5,-73.17,63118, Atlantic
40.5,-73.25,63119, Atlantic
40.5,-73.33,63120, Atlantic
40.42,-73.42,63121, Atlantic
40.42,-73.5,63122, Atlantic
40.42,-73.58,63123, Atlantic
40.42,-73.67,63124, Atlantic
40.42,-73.75,63125, Atlantic
40.42,-73.83,63126, Atlantic
40.33,-73.83,63127, Atlantic
40.25,-73.83,63128, Atlantic
40.17,-73.83,63129, Atlantic
40.08,-73.83,63130, Atlantic
40,-73.83,63131, Atlantic
39.92,-73.83,63132, Atlantic
39.92,-73.92,63133, Atlantic
39.83,-73.92,63134, Atlantic
39.75,-73.92,63135, Atlantic
39.67,-73.92,63136, Atlantic
39.58,-74,63137, Atlantic
39.5,-74,63138, Atlantic
39.42,-74.08,63139, Atlantic
39.33,-74.17,63140, Atlantic
39.25,-74.25,63141, Atlantic
39.17,-74.33,63142, Atlantic
39.17,-74.42,63143, Atlantic
39.08,-74.42,63144, Atlantic
39.08,-74.5,63145, Atlantic
39,-74.42,63146, Atlantic
39,-74.5,63147, Atlantic
38.92,-74.5,63148, Atlantic
38.92,-74.58,63149, Atlantic
38.83,-74.58,63150, Atlantic
38.83,-74.75,63151, Atlantic
38.83,-74.83,63152, Atlantic
38.75,-74.75,63153, Atlantic
38.75,-74.92,63154, Atlantic
38.67,-74.83,63155, Atlantic
38.67,-74.92,63156, Atlantic
38.58,-74.83,63157, Atlantic
38.58,-74.92,63158, Atlantic
38.5,-74.83,63159, Atlantic
38.5,-74.92,63160, Atlantic
38.42,-74.83,63161, Atlantic
38.42,-74.92,63162, Atlantic
38.33,-74.83,63163, Atlantic
38.33,-74.92,63164, Atlantic
38.25,-74.83,63165, Atlantic
38.25,-74.92,63166, Atlantic
38.17,-74.83,63167, Atlantic
38.17,-75,63168, Atlantic
38.08,-74.83,63169, Atlantic
38.08,-75,63170, Atlantic
38,-74.92,63171, Atlantic
38,-75,63172, Atlantic
37.92,-74.92,63173, Atlantic
37.92,-75.08,63174, Atlantic
37.83,-75,63175, Atlantic
37.83,-75.17,63176, Atlantic
37.75,-75.08,63177, Atlantic
37.75,-75.25,63178, Atlantic
37.75,-75.33,63179, Atlantic
37.67,-75.25,63180, Atlantic
37.67,-75.33,63181, Atlantic
37.58,-75.42,63182, Atlantic
37.5,-75.42,63183, Atlantic
37.42,-75.42,63184, Atlantic
37.42,-75.5,63185, Atlantic
37.33,-75.42,63186, Atlantic
37.33,-75.5,63187, Atlantic
37.25,-75.5,63188, Atlantic
37.25,-75.58,63189, Atlantic
37.17,-75.5,63190, Atlantic
37.17,-75.58,63191, Atlantic
37.08,-75.5,63192, Atlantic
37.08,-75.58,63193, Atlantic
37,-75.5,63194, Atlantic
37,-75.67,63195, Atlantic
36.92,-75.5,63196, Atlantic
36.92,-75.75,63197, Atlantic
36.83,-75.5,63198, Atlantic
36.83,-75.75,63199, Atlantic
36.75,-75.5,63200, Atlantic
36.75,-75.75,63201, Atlantic
36.67,-75.58,63202, Atlantic
36.67,-75.75,63203, Atlantic
36.58,-75.58,63204, Atlantic
36.58,-75.67,63205, Atlantic
36.5,-75.42,63206, Atlantic
36.5,-75.5,63207, Atlantic
36.5,-75.58,63208, Atlantic
36.5,-75.67,63209, Atlantic
36.42,-74.92,63210, Atlantic
36.42,-75.08,63211, Atlantic
36.42,-75.25,63212, Atlantic
36.42,-75.42,63213, Atlantic
36.42,-75.5,63214, Atlantic
36.42,-75.58,63215, Atlantic
36.42,-75.67,63216, Atlantic
36.33,-75.58,63217, Atlantic
36.25,-75.58,63218, Atlantic
36.17,-75.5,63219, Atlantic
36.08,-75.5,63220, Atlantic
36,-75.42,63221, Atlantic
35.92,-75.42,63222, Atlantic
35.83,-75.33,63223, Atlantic
